ecosystem,name,version,license,repository
"npm","@tauri-apps/api","2.11.0","Apache-2.0 OR MIT","https://github.com/tauri-apps/tauri"
"npm","@tiptap/core","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-blockquote","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-bold","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-bullet-list","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-code-block","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-code","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-document","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-dropcursor","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-gapcursor","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-hard-break","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-heading","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-horizontal-rule","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-italic","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-link","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-list-item","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-list-keymap","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-list","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-ordered-list","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-paragraph","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-placeholder","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-strike","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-text","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extension-underline","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/extensions","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/pm","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@tiptap/starter-kit","3.24.0","MIT","https://github.com/ueberdosis/tiptap"
"npm","@types/d3-array","3.2.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-axis","3.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-brush","3.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-chord","3.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-color","3.1.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-contour","3.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-delaunay","6.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-dispatch","3.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-drag","3.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-dsv","3.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-ease","3.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-fetch","3.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-force","3.0.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-format","3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-geo","3.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-hierarchy","3.1.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-interpolate","3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-path","3.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-polygon","3.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-quadtree","3.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-random","3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-scale-chromatic","3.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-scale","4.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-selection","3.0.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-shape","3.1.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-time-format","4.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-time","3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-timer","3.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-transition","3.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3-zoom","3.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/d3","7.4.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/debug","4.1.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/geojson","7946.0.16","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/hast","3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/linkify-it","3.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/linkify-it","5.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/markdown-it","13.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/markdown-it","14.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/mdast","3.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/mdast","4.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/mdurl","1.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/mdurl","2.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/ms","2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/pako","2.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/raf","3.4.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/trusted-types","2.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/unist","2.0.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@types/unist","3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"npm","@ungap/structured-clone","1.3.1","ISC","https://github.com/ungap/structured-clone"
"npm","@upsetjs/venn.js","2.0.0","MIT","https://github.com/upsetjs/venn.js"
"npm","@xmldom/xmldom","0.9.10","MIT","https://github.com/xmldom/xmldom"
"npm","anymatch","3.1.3","ISC","https://github.com/micromatch/anymatch"
"npm","argparse","2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"npm","aria-hidden","1.2.6","MIT","https://github.com/theKashey/aria-hidden"
"npm","base64-arraybuffer","1.0.2","MIT","https://github.com/niklasvh/base64-arraybuffer"
"npm","binary-extensions","2.3.0","MIT","https://github.com/sindresorhus/binary-extensions"
"npm","braces","3.0.3","MIT","https://github.com/micromatch/braces"
"npm","browser-fs-access","0.29.1","Apache-2.0","https://github.com/GoogleChromeLabs/browser-fs-access"
"npm","canvas-roundrect-polyfill","0.0.1","MIT","https://github.com/Kaiido/roundRect"
"npm","canvg","3.0.11","MIT","https://github.com/canvg/canvg"
"npm","ccount","2.0.1","MIT","https://github.com/wooorm/ccount"
"npm","character-entities-html4","2.1.0","MIT","https://github.com/wooorm/character-entities-html4"
"npm","character-entities-legacy","3.0.0","MIT","https://github.com/wooorm/character-entities-legacy"
"npm","character-entities","2.0.2","MIT","https://github.com/wooorm/character-entities"
"npm","chevrotain-allstar","0.3.1","MIT","https://github.com/langium/chevrotain-allstar"
"npm","chevrotain","11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"npm","chokidar","3.6.0","MIT","https://github.com/paulmillr/chokidar"
"npm","clsx","1.1.1","MIT","https://github.com/lukeed/clsx"
"npm","comma-separated-tokens","2.0.3","MIT","https://github.com/wooorm/comma-separated-tokens"
"npm","commander","13.1.0","MIT","https://github.com/tj/commander.js"
"npm","commander","2.20.3","MIT","https://github.com/tj/commander.js"
"npm","commander","7.2.0","MIT","https://github.com/tj/commander.js"
"npm","commander","8.3.0","MIT","https://github.com/tj/commander.js"
"npm","commander","9.5.0","MIT","https://github.com/tj/commander.js"
"npm","core-js","3.49.0","MIT","https://github.com/zloirock/core-js"
"npm","cose-base","1.0.3","MIT","https://github.com/iVis-at-Bilkent/cose-base"
"npm","cose-base","2.2.0","MIT","https://github.com/iVis-at-Bilkent/cose-base"
"npm","crc-32","0.3.0","Apache-2.0","https://github.com/SheetJS/js-crc32"
"npm","cross-env","7.0.3","MIT","https://github.com/kentcdodds/cross-env"
"npm","cross-spawn","7.0.6","MIT","https://github.com/moxystudio/node-cross-spawn"
"npm","css-line-break","2.1.0","MIT","https://github.com/niklasvh/css-line-break"
"npm","cssesc","3.0.0","MIT","https://github.com/mathiasbynens/cssesc"
